地域階層,地域コード,地域,農産物の販売のあった経営体（経営体）,単一経営（主位部門の販売金額が8割以上の経営体）／計（経営体）,単一経営（主位部門の販売金額が8割以上の経営体）／稲作（経営体）,単一経営（主位部門の販売金額が8割以上の経営体）／麦類作（経営体）,単一経営（主位部門の販売金額が8割以上の経営体）／雑穀・いも類・豆類（経営体）,単一経営（主位部門の販売金額が8割以上の経営体）／工芸農作物（経営体）,単一経営（主位部門の販売金額が8割以上の経営体）／露地野菜（経営体）,単一経営（主位部門の販売金額が8割以上の経営体）／施設野菜（経営体）,単一経営（主位部門の販売金額が8割以上の経営体）／果樹類（経営体）,単一経営（主位部門の販売金額が8割以上の経営体）／花き・花木（経営体）,単一経営（主位部門の販売金額が8割以上の経営体）／その他の作物（経営体）,単一経営（主位部門の販売金額が8割以上の経営体）／酪農（経営体）,単一経営（主位部門の販売金額が8割以上の経営体）／肉用牛（経営体）,単一経営（主位部門の販売金額が8割以上の経営体）／養豚（経営体）,単一経営（主位部門の販売金額が8割以上の経営体）／養鶏（経営体）,単一経営（主位部門の販売金額が8割以上の経営体）／養蚕（経営体）,単一経営（主位部門の販売金額が8割以上の経営体）／その他の畜産（経営体）,複合経営（主位部門の販売金額が8割未満の経営体）（経営体）
0,13000,東京都総数,4502,3128,50,2,44,64,1558,141,522,610,72,34,10,5,9,1,6,1374
1,13100,区部,756,538,15,-,6,3,295,74,74,58,10,1,-,1,-,-,1,218
4,13101,千代田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13102,中央区,5,5,-,-,-,-,1,3,-,-,-,-,-,-,-,-,1,-
4,13103,港区,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13104,新宿区,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13105,文京区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13106,台東区,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13107,墨田区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13108,江東区,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13109,品川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13110,目黒区,5,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,4
4,13111,大田区,4,3,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,1
4,13112,世田谷区,190,129,-,-,-,-,88,1,24,13,3,-,-,-,-,-,-,61
4,13113,渋谷区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13114,中野区,4,4,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-
4,13115,杉並区,58,42,1,-,1,-,21,3,7,8,1,-,-,-,-,-,-,16
4,13116,豊島区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13117,北区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13118,荒川区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13119,板橋区,20,13,-,-,2,-,9,-,2,-,-,-,-,-,-,-,-,7
4,13120,練馬区,254,177,-,-,-,1,112,7,38,16,2,1,-,-,-,-,-,77
4,13121,足立区,55,41,3,-,1,-,22,8,-,4,3,-,-,-,-,-,-,14
4,13122,葛飾区,68,45,9,-,1,-,21,12,1,1,-,-,-,-,-,-,-,23
4,13123,江戸川区,87,74,1,-,-,2,18,38,2,12,1,-,-,-,-,-,-,13
1,13200,市部,3160,2097,35,2,34,21,1167,59,416,268,49,25,5,3,7,1,5,1063
4,13201,八王子市,284,199,10,-,2,-,118,4,32,14,3,9,2,1,3,1,-,85
4,13202,立川市,205,146,-,1,1,1,84,1,15,30,8,2,1,1,-,-,1,59
4,13203,武蔵野市,54,39,-,-,-,-,31,-,6,1,-,-,-,-,-,-,1,15
4,13204,三鷹市,194,131,-,-,1,-,69,1,30,27,3,-,-,-,-,-,-,63
4,13205,青梅市,89,61,-,-,3,6,24,3,11,7,5,2,-,-,-,-,-,28
4,13206,府中市,146,91,8,-,-,-,52,6,13,9,1,-,-,-,1,-,1,55
4,13207,昭島市,47,33,3,-,-,-,16,1,6,4,1,-,-,-,2,-,-,14
4,13208,調布市,123,70,-,-,5,-,39,2,6,16,2,-,-,-,-,-,-,53
4,13209,町田市,261,159,6,-,-,-,114,-,16,12,6,1,1,1,1,-,1,102
4,13210,小金井市,82,51,-,-,1,-,24,3,8,14,1,-,-,-,-,-,-,31
4,13211,小平市,203,132,-,-,4,-,75,4,34,14,1,-,-,-,-,-,-,71
4,13212,日野市,118,75,3,-,3,-,36,5,23,4,-,1,-,-,-,-,-,43
4,13213,東村山市,156,83,-,-,1,-,33,1,34,13,1,-,-,-,-,-,-,73
4,13214,国分寺市,144,104,-,-,1,1,49,-,16,32,5,-,-,-,-,-,-,40
4,13215,国立市,47,34,2,-,-,-,25,-,6,1,-,-,-,-,-,-,-,13
4,13218,福生市,11,5,-,-,-,1,2,-,1,1,-,-,-,-,-,-,-,6
4,13219,狛江市,57,46,-,-,-,-,35,1,5,4,1,-,-,-,-,-,-,11
4,13220,東大和市,60,36,-,-,1,4,22,1,5,3,-,-,-,-,-,-,-,24
4,13221,清瀬市,145,111,-,-,3,-,80,6,6,9,1,6,-,-,-,-,-,34
4,13222,東久留米市,168,108,-,1,2,-,62,4,21,15,3,-,-,-,-,-,-,60
4,13223,武蔵村山市,105,77,-,-,1,6,53,4,6,4,2,1,-,-,-,-,-,28
4,13224,多摩市,21,8,-,-,-,-,7,-,1,-,-,-,-,-,-,-,-,13
4,13225,稲城市,148,122,2,-,-,-,24,1,91,4,-,-,-,-,-,-,-,26
4,13227,羽村市,44,23,-,-,2,-,13,-,2,6,-,-,-,-,-,-,-,21
4,13228,あきる野市,119,65,1,-,2,1,38,7,8,2,1,3,1,-,-,-,1,54
4,13229,西東京市,129,88,-,-,1,1,42,4,14,22,4,-,-,-,-,-,-,41
1,13550,町村部,586,493,-,-,4,40,96,8,32,284,13,8,5,1,2,-,-,93
2,13300,西多摩郡,125,88,-,-,2,12,41,4,5,11,5,6,1,1,-,-,-,37
4,13303,瑞穂町,87,64,-,-,2,12,28,-,2,11,2,5,1,1,-,-,-,23
4,13305,日の出町,35,22,-,-,-,-,13,4,3,-,1,1,-,-,-,-,-,13
4,13307,檜原村,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
4,13308,奥多摩町,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2,13350,島部,461,405,-,-,2,28,55,4,27,273,8,2,4,-,2,-,-,56
3,13360,大島支庁,121,93,-,-,1,27,14,3,3,42,1,1,-,-,1,-,-,28
4,13361,大島町,66,49,-,-,1,1,10,-,-,34,1,1,-,-,1,-,-,17
4,13362,利島村,30,26,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,4
4,13363,新島村,15,9,-,-,-,-,3,2,1,3,-,-,-,-,-,-,-,6
4,13364,神津島村,10,9,-,-,-,-,1,1,2,5,-,-,-,-,-,-,-,1
3,13380,三宅支庁,21,20,-,-,-,-,14,-,2,3,1,-,-,-,-,-,-,1
4,13381,三宅村,18,17,-,-,-,-,11,-,2,3,1,-,-,-,-,-,-,1
4,13382,御蔵島村,3,3,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
3,13400,八丈支庁,283,273,-,-,1,1,25,1,7,227,5,1,4,-,1,-,-,10
4,13401,八丈町,279,269,-,-,1,1,25,1,7,225,5,1,3,-,-,-,-,10
4,13402,青ケ島村,4,4,-,-,-,-,-,-,-,2,-,-,1,-,1,-,-,-
3,13420,小笠原支庁,36,19,-,-,-,-,2,-,15,1,1,-,-,-,-,-,-,17
4,13421,小笠原村,36,19,-,-,-,-,2,-,15,1,1,-,-,-,-,-,-,17
,,,,,,,,,,,,,,,,,,,,
2020年農林業センサス,,,,,,,,,,,,,,,,,,,,
第7表　区市町村、農業経営組織別経営体数（農業経営体）,,,,,,,,,,,,,,,,,,,,
地域階層（0：東京都総数　1：区部・市部・町村部　2：西多摩郡・島部　3：支庁　4：区市町村）,,,,,,,,,,,,,,,,,,,,
